Vardas              Pavarde             Galutinis(vid.)
Vardas6036          Pavarde6036         5.4               
Vardas6037          Pavarde6037         4.24              
Vardas6038          Pavarde6038         3.12              
Vardas6039          Pavarde6039         7.16              
Vardas6040          Pavarde6040         8.56              
Vardas6041          Pavarde6041         5                 
Vardas6042          Pavarde6042         6.8               
Vardas6043          Pavarde6043         5.76              
Vardas6044          Pavarde6044         2.64              
Vardas6045          Pavarde6045         2.92              
Vardas6046          Pavarde6046         5.24              
Vardas6047          Pavarde6047         5.6               
Vardas6048          Pavarde6048         4.88              
Vardas6049          Pavarde6049         2.92              
Vardas6050          Pavarde6050         5.68              
Vardas6051          Pavarde6051         6.64              
Vardas6052          Pavarde6052         6.12              
Vardas6053          Pavarde6053         3.28              
Vardas6054          Pavarde6054         3.16              
Vardas6055          Pavarde6055         7.68              
Vardas6056          Pavarde6056         8.08              
Vardas6057          Pavarde6057         3.2               
Vardas6058          Pavarde6058         5.32              
Vardas6059          Pavarde6059         8.64              
Vardas6060          Pavarde6060         6.8               
Vardas6061          Pavarde6061         3.2               
Vardas6062          Pavarde6062         2.52              
Vardas6063          Pavarde6063         4.08              
Vardas6064          Pavarde6064         4.08              
Vardas6065          Pavarde6065         8.8               
Vardas6066          Pavarde6066         5.96              
Vardas6067          Pavarde6067         4.88              
Vardas6068          Pavarde6068         7.36              
Vardas6069          Pavarde6069         7.68              
Vardas6070          Pavarde6070         6.12              
Vardas6071          Pavarde6071         3.84              
Vardas6072          Pavarde6072         5.64              
Vardas6073          Pavarde6073         6.88              
Vardas6074          Pavarde6074         4.04              
Vardas6075          Pavarde6075         7.12              
Vardas6076          Pavarde6076         5.08              
Vardas6077          Pavarde6077         2.68              
Vardas6078          Pavarde6078         4.6               
Vardas6079          Pavarde6079         4.04              
Vardas6080          Pavarde6080         3.64              
Vardas6081          Pavarde6081         7.64              
Vardas6082          Pavarde6082         7.84              
Vardas6083          Pavarde6083         2.04              
Vardas6084          Pavarde6084         7.92              
Vardas6085          Pavarde6085         3.08              
Vardas6086          Pavarde6086         5.8               
Vardas6087          Pavarde6087         8.48              
Vardas6088          Pavarde6088         7.76              
Vardas6089          Pavarde6089         7.88              
Vardas6090          Pavarde6090         3.48              
Vardas6091          Pavarde6091         8.56              
Vardas6092          Pavarde6092         7.92              
Vardas6093          Pavarde6093         6.08              
Vardas6094          Pavarde6094         4.28              
Vardas6095          Pavarde6095         8.8               
Vardas6096          Pavarde6096         7.32              
Vardas6097          Pavarde6097         5.6               
Vardas6098          Pavarde6098         2.28              
Vardas6099          Pavarde6099         5.4               
Vardas6100          Pavarde6100         5.4               
Vardas6101          Pavarde6101         4.24              
Vardas6102          Pavarde6102         3.72              
Vardas6103          Pavarde6103         5.32              
Vardas6104          Pavarde6104         6.28              
Vardas6105          Pavarde6105         7.44              
Vardas6106          Pavarde6106         5.16              
Vardas6107          Pavarde6107         4.68              
Vardas6108          Pavarde6108         6.76              
Vardas6109          Pavarde6109         5.04              
Vardas6110          Pavarde6110         4.56              
Vardas6111          Pavarde6111         7.28              
Vardas6112          Pavarde6112         8.08              
Vardas6113          Pavarde6113         6                 
Vardas6114          Pavarde6114         2.56              
Vardas6115          Pavarde6115         7.52              
Vardas6116          Pavarde6116         4.52              
Vardas6117          Pavarde6117         2.96              
Vardas6118          Pavarde6118         5.8               
Vardas6119          Pavarde6119         6.48              
Vardas6120          Pavarde6120         4.24              
Vardas6121          Pavarde6121         3.04              
Vardas6122          Pavarde6122         8.16              
Vardas6123          Pavarde6123         7.28              
Vardas6124          Pavarde6124         4.96              
Vardas6125          Pavarde6125         2.68              
Vardas6126          Pavarde6126         7.76              
Vardas6127          Pavarde6127         3.2               
Vardas6128          Pavarde6128         3.28              
Vardas6129          Pavarde6129         6.4               
Vardas6130          Pavarde6130         3.28              
Vardas6131          Pavarde6131         3.44              
Vardas6132          Pavarde6132         7.76              
Vardas6133          Pavarde6133         6.76              
Vardas6134          Pavarde6134         6.32              
Vardas6135          Pavarde6135         2.68              
Vardas6136          Pavarde6136         3.68              
Vardas6137          Pavarde6137         6.12              
Vardas6138          Pavarde6138         6.08              
Vardas6139          Pavarde6139         6.64              
Vardas6140          Pavarde6140         5.68              
Vardas6141          Pavarde6141         3.56              
Vardas6142          Pavarde6142         8.16              
Vardas6143          Pavarde6143         2.44              
Vardas6144          Pavarde6144         5.08              
Vardas6145          Pavarde6145         7.2               
Vardas6146          Pavarde6146         6.04              
Vardas6147          Pavarde6147         3.28              
Vardas6148          Pavarde6148         3.28              
Vardas6149          Pavarde6149         5.92              
Vardas6150          Pavarde6150         5.84              
Vardas6151          Pavarde6151         4.44              
Vardas6152          Pavarde6152         6.56              
Vardas6153          Pavarde6153         2.88              
Vardas6154          Pavarde6154         6.64              
Vardas6155          Pavarde6155         5.88              
Vardas6156          Pavarde6156         7.36              
Vardas6157          Pavarde6157         6.96              
Vardas6158          Pavarde6158         6.08              
Vardas6159          Pavarde6159         5.92              
Vardas6160          Pavarde6160         5.72              
Vardas6161          Pavarde6161         5.04              
Vardas6162          Pavarde6162         8.48              
Vardas6163          Pavarde6163         7.48              
Vardas6164          Pavarde6164         4.84              
Vardas6165          Pavarde6165         4.64              
Vardas6166          Pavarde6166         5.24              
Vardas6167          Pavarde6167         5.24              
Vardas6168          Pavarde6168         4.72              
Vardas6169          Pavarde6169         7.24              
Vardas6170          Pavarde6170         4.88              
Vardas6171          Pavarde6171         3.4               
Vardas6172          Pavarde6172         2.72              
Vardas6173          Pavarde6173         5                 
Vardas6174          Pavarde6174         3.12              
Vardas6175          Pavarde6175         4.4               
Vardas6176          Pavarde6176         8.24              
Vardas6177          Pavarde6177         4.76              
Vardas6178          Pavarde6178         3.72              
Vardas6179          Pavarde6179         6.36              
Vardas6180          Pavarde6180         3.04              
Vardas6181          Pavarde6181         7.68              
Vardas6182          Pavarde6182         4.92              
Vardas6183          Pavarde6183         8.32              
Vardas6184          Pavarde6184         4.84              
Vardas6185          Pavarde6185         8.6               
Vardas6186          Pavarde6186         4.36              
Vardas6187          Pavarde6187         5.92              
Vardas6188          Pavarde6188         2.2               
Vardas6189          Pavarde6189         7.52              
Vardas6190          Pavarde6190         7.6               
Vardas6191          Pavarde6191         8.24              
Vardas6192          Pavarde6192         5.32              
Vardas6193          Pavarde6193         3.36              
Vardas6194          Pavarde6194         7.08              
Vardas6195          Pavarde6195         7.64              
Vardas6196          Pavarde6196         2.6               
Vardas6197          Pavarde6197         7.88              
Vardas6198          Pavarde6198         5.4               
Vardas6199          Pavarde6199         4.28              
Vardas6200          Pavarde6200         4.12              
Vardas6201          Pavarde6201         6.16              
Vardas6202          Pavarde6202         3                 
Vardas6203          Pavarde6203         8.08              
Vardas6204          Pavarde6204         6.04              
Vardas6205          Pavarde6205         3.12              
Vardas6206          Pavarde6206         5.16              
Vardas6207          Pavarde6207         8.32              
Vardas6208          Pavarde6208         7.04              
Vardas6209          Pavarde6209         6.28              
Vardas6210          Pavarde6210         4                 
Vardas6211          Pavarde6211         4.12              
Vardas6212          Pavarde6212         5.32              
Vardas6213          Pavarde6213         6.56              
Vardas6214          Pavarde6214         4.76              
Vardas6215          Pavarde6215         3.8               
Vardas6216          Pavarde6216         5.04              
Vardas6217          Pavarde6217         6.12              
Vardas6218          Pavarde6218         7.68              
Vardas6219          Pavarde6219         7.76              
Vardas6220          Pavarde6220         4.16              
Vardas6221          Pavarde6221         2.12              
Vardas6222          Pavarde6222         6.44              
Vardas6223          Pavarde6223         7.48              
Vardas6224          Pavarde6224         5.08              
Vardas6225          Pavarde6225         7.44              
Vardas6226          Pavarde6226         8.48              
Vardas6227          Pavarde6227         4.76              
Vardas6228          Pavarde6228         6.2               
Vardas6229          Pavarde6229         6.72              
Vardas6230          Pavarde6230         7.56              
Vardas6231          Pavarde6231         5.16              
Vardas6232          Pavarde6232         3.68              
Vardas6233          Pavarde6233         6.2               
Vardas6234          Pavarde6234         8.32              
Vardas6235          Pavarde6235         3.68              
Vardas6236          Pavarde6236         5.2               
Vardas6237          Pavarde6237         7.92              
Vardas6238          Pavarde6238         3.32              
Vardas6239          Pavarde6239         6.96              
Vardas6240          Pavarde6240         7.6               
Vardas6241          Pavarde6241         7.6               
Vardas6242          Pavarde6242         4.92              
Vardas6243          Pavarde6243         4.12              
Vardas6244          Pavarde6244         2.6               
Vardas6245          Pavarde6245         4.88              
Vardas6246          Pavarde6246         5.52              
Vardas6247          Pavarde6247         4.88              
Vardas6248          Pavarde6248         2.68              
Vardas6249          Pavarde6249         4.44              
Vardas6250          Pavarde6250         5                 
Vardas6251          Pavarde6251         7.4               
Vardas6252          Pavarde6252         5.88              
Vardas6253          Pavarde6253         4                 
Vardas6254          Pavarde6254         6.08              
Vardas6255          Pavarde6255         7.92              
Vardas6256          Pavarde6256         5.96              
Vardas6257          Pavarde6257         3.88              
Vardas6258          Pavarde6258         4.28              
Vardas6259          Pavarde6259         6.52              
Vardas6260          Pavarde6260         5.8               
Vardas6261          Pavarde6261         7.48              
Vardas6262          Pavarde6262         2.72              
Vardas6263          Pavarde6263         3.8               
Vardas6264          Pavarde6264         3.72              
Vardas6265          Pavarde6265         7.44              
Vardas6266          Pavarde6266         3.28              
Vardas6267          Pavarde6267         2.44              
Vardas6268          Pavarde6268         2.76              
Vardas6269          Pavarde6269         8.64              
Vardas6270          Pavarde6270         4.8               
Vardas6271          Pavarde6271         6.08              
Vardas6272          Pavarde6272         5.28              
Vardas6273          Pavarde6273         6.16              
Vardas6274          Pavarde6274         7.64              
Vardas6275          Pavarde6275         7.36              
Vardas6276          Pavarde6276         7.68              
Vardas6277          Pavarde6277         4.12              
Vardas6278          Pavarde6278         3.48              
Vardas6279          Pavarde6279         3.52              
Vardas6280          Pavarde6280         3.92              
Vardas6281          Pavarde6281         5.36              
Vardas6282          Pavarde6282         4.16              
Vardas6283          Pavarde6283         2.96              
Vardas6284          Pavarde6284         6.88              
Vardas6285          Pavarde6285         5.72              
Vardas6286          Pavarde6286         6.2               
Vardas6287          Pavarde6287         3.32              
Vardas6288          Pavarde6288         5.64              
Vardas6289          Pavarde6289         7.12              
Vardas6290          Pavarde6290         5.32              
Vardas6291          Pavarde6291         7.76              
Vardas6292          Pavarde6292         5.32              
Vardas6293          Pavarde6293         4.2               
Vardas6294          Pavarde6294         2.52              
Vardas6295          Pavarde6295         6.4               
Vardas6296          Pavarde6296         4.16              
Vardas6297          Pavarde6297         3.6               
Vardas6298          Pavarde6298         8.52              
Vardas6299          Pavarde6299         5.56              
Vardas6300          Pavarde6300         5.76              
Vardas6301          Pavarde6301         3.68              
Vardas6302          Pavarde6302         3.32              
Vardas6303          Pavarde6303         3.28              
Vardas6304          Pavarde6304         2.68              
Vardas6305          Pavarde6305         6.24              
Vardas6306          Pavarde6306         6.12              
Vardas6307          Pavarde6307         6.84              
Vardas6308          Pavarde6308         4.24              
Vardas6309          Pavarde6309         4.88              
Vardas6310          Pavarde6310         6.8               
Vardas6311          Pavarde6311         4.96              
Vardas6312          Pavarde6312         5.28              
Vardas6313          Pavarde6313         4.48              
Vardas6314          Pavarde6314         3.6               
Vardas6315          Pavarde6315         5.16              
Vardas6316          Pavarde6316         3.76              
Vardas6317          Pavarde6317         8                 
Vardas6318          Pavarde6318         7.28              
Vardas6319          Pavarde6319         6.2               
Vardas6320          Pavarde6320         4.48              
Vardas6321          Pavarde6321         6.44              
Vardas6322          Pavarde6322         3.84              
Vardas6323          Pavarde6323         4.36              
Vardas6324          Pavarde6324         3.6               
Vardas6325          Pavarde6325         3.8               
Vardas6326          Pavarde6326         6.48              
Vardas6327          Pavarde6327         3.56              
Vardas6328          Pavarde6328         8                 
Vardas6329          Pavarde6329         4.56              
Vardas6330          Pavarde6330         2.44              
Vardas6331          Pavarde6331         8.08              
Vardas6332          Pavarde6332         6.88              
Vardas6333          Pavarde6333         2.68              
Vardas6334          Pavarde6334         7.72              
Vardas6335          Pavarde6335         4.44              
Vardas6336          Pavarde6336         6.08              
Vardas6337          Pavarde6337         5.64              
Vardas6338          Pavarde6338         6.32              
Vardas6339          Pavarde6339         3.32              
Vardas6340          Pavarde6340         2.6               
Vardas6341          Pavarde6341         6.84              
Vardas6342          Pavarde6342         3.8               
Vardas6343          Pavarde6343         4.48              
Vardas6344          Pavarde6344         5.88              
Vardas6345          Pavarde6345         4.6               
Vardas6346          Pavarde6346         2.8               
Vardas6347          Pavarde6347         4.64              
Vardas6348          Pavarde6348         4.88              
Vardas6349          Pavarde6349         8.56              
Vardas6350          Pavarde6350         2.92              
Vardas6351          Pavarde6351         5.84              
Vardas6352          Pavarde6352         3.68              
Vardas6353          Pavarde6353         6.12              
Vardas6354          Pavarde6354         3.36              
Vardas6355          Pavarde6355         5.36              
Vardas6356          Pavarde6356         5.96              
Vardas6357          Pavarde6357         6.92              
Vardas6358          Pavarde6358         5.6               
Vardas6359          Pavarde6359         6.72              
Vardas6360          Pavarde6360         5.52              
Vardas6361          Pavarde6361         4.16              
Vardas6362          Pavarde6362         7.24              
Vardas6363          Pavarde6363         6.24              
Vardas6364          Pavarde6364         4.8               
Vardas6365          Pavarde6365         6.56              
Vardas6366          Pavarde6366         4.8               
Vardas6367          Pavarde6367         6.04              
Vardas6368          Pavarde6368         3.72              
Vardas6369          Pavarde6369         3.24              
Vardas6370          Pavarde6370         4.92              
Vardas6371          Pavarde6371         6.84              
Vardas6372          Pavarde6372         4.32              
Vardas6373          Pavarde6373         5.28              
Vardas6374          Pavarde6374         4.28              
Vardas6375          Pavarde6375         4.96              
Vardas6376          Pavarde6376         8.04              
Vardas6377          Pavarde6377         6.84              
Vardas6378          Pavarde6378         6.64              
Vardas6379          Pavarde6379         3.2               
Vardas6380          Pavarde6380         3.92              
Vardas6381          Pavarde6381         3.2               
Vardas6382          Pavarde6382         6.52              
Vardas6383          Pavarde6383         7.92              
Vardas6384          Pavarde6384         4.4               
Vardas6385          Pavarde6385         4.4               
Vardas6386          Pavarde6386         7.8               
Vardas6387          Pavarde6387         3.56              
Vardas6388          Pavarde6388         7.76              
Vardas6389          Pavarde6389         5.44              
Vardas6390          Pavarde6390         2.88              
Vardas6391          Pavarde6391         8.16              
Vardas6392          Pavarde6392         5.28              
Vardas6393          Pavarde6393         2.8               
Vardas6394          Pavarde6394         7.8               
Vardas6395          Pavarde6395         3.72              
Vardas6396          Pavarde6396         3.76              
Vardas6397          Pavarde6397         2.6               
Vardas6398          Pavarde6398         8.64              
Vardas6399          Pavarde6399         7.6               
Vardas6400          Pavarde6400         2.88              
Vardas6401          Pavarde6401         5.36              
Vardas6402          Pavarde6402         7.88              
Vardas6403          Pavarde6403         5.28              
Vardas6404          Pavarde6404         6.2               
Vardas6405          Pavarde6405         3.36              
Vardas6406          Pavarde6406         2.36              
Vardas6407          Pavarde6407         5.4               
Vardas6408          Pavarde6408         5.04              
Vardas6409          Pavarde6409         6.16              
Vardas6410          Pavarde6410         5.08              
Vardas6411          Pavarde6411         5.92              
Vardas6412          Pavarde6412         8.4               
Vardas6413          Pavarde6413         8.56              
Vardas6414          Pavarde6414         5.56              
Vardas6415          Pavarde6415         8.24              
Vardas6416          Pavarde6416         3.88              
Vardas6417          Pavarde6417         4.72              
Vardas6418          Pavarde6418         5.24              
Vardas6419          Pavarde6419         5.6               
Vardas6420          Pavarde6420         2.92              
Vardas6421          Pavarde6421         3.4               
Vardas6422          Pavarde6422         5.36              
Vardas6423          Pavarde6423         8.08              
Vardas6424          Pavarde6424         4                 
Vardas6425          Pavarde6425         4.8               
Vardas6426          Pavarde6426         5.12              
Vardas6427          Pavarde6427         4.64              
Vardas6428          Pavarde6428         5.88              
Vardas6429          Pavarde6429         4.96              
Vardas6430          Pavarde6430         5.92              
Vardas6431          Pavarde6431         4.08              
Vardas6432          Pavarde6432         3.88              
Vardas6433          Pavarde6433         7.56              
Vardas6434          Pavarde6434         7.6               
Vardas6435          Pavarde6435         6.64              
Vardas6436          Pavarde6436         4.68              
Vardas6437          Pavarde6437         3.6               
Vardas6438          Pavarde6438         5.88              
Vardas6439          Pavarde6439         7.84              
Vardas6440          Pavarde6440         2.88              
Vardas6441          Pavarde6441         4.32              
Vardas6442          Pavarde6442         3.88              
Vardas6443          Pavarde6443         4.32              
Vardas6444          Pavarde6444         2.12              
Vardas6445          Pavarde6445         6.6               
Vardas6446          Pavarde6446         3                 
Vardas6447          Pavarde6447         3.4               
Vardas6448          Pavarde6448         8.44              
Vardas6449          Pavarde6449         7.96              
Vardas6450          Pavarde6450         2.96              
Vardas6451          Pavarde6451         5.28              
Vardas6452          Pavarde6452         7.72              
Vardas6453          Pavarde6453         5.6               
Vardas6454          Pavarde6454         6.24              
Vardas6455          Pavarde6455         3.36              
Vardas6456          Pavarde6456         4.84              
Vardas6457          Pavarde6457         4.2               
Vardas6458          Pavarde6458         6.04              
Vardas6459          Pavarde6459         6.28              
Vardas6460          Pavarde6460         3.8               
Vardas6461          Pavarde6461         5.36              
Vardas6462          Pavarde6462         7.36              
Vardas6463          Pavarde6463         4.68              
Vardas6464          Pavarde6464         7.16              
Vardas6465          Pavarde6465         1.56              
Vardas6466          Pavarde6466         7.68              
Vardas6467          Pavarde6467         7.64              
Vardas6468          Pavarde6468         3.8               
Vardas6469          Pavarde6469         6.32              
Vardas6470          Pavarde6470         4.76              
Vardas6471          Pavarde6471         2.36              
Vardas6472          Pavarde6472         7.16              
Vardas6473          Pavarde6473         4.52              
Vardas6474          Pavarde6474         4.32              
Vardas6475          Pavarde6475         3.84              
Vardas6476          Pavarde6476         5.4               
Vardas6477          Pavarde6477         8.04              
Vardas6478          Pavarde6478         6.64              
Vardas6479          Pavarde6479         3.76              
Vardas6480          Pavarde6480         8.48              
Vardas6481          Pavarde6481         5.4               
Vardas6482          Pavarde6482         7.96              
Vardas6483          Pavarde6483         3.6               
Vardas6484          Pavarde6484         6.28              
Vardas6485          Pavarde6485         5.08              
Vardas6486          Pavarde6486         7.4               
Vardas6487          Pavarde6487         7.84              
Vardas6488          Pavarde6488         4.56              
Vardas6489          Pavarde6489         4.64              
Vardas6490          Pavarde6490         7.68              
Vardas6491          Pavarde6491         5.8               
Vardas6492          Pavarde6492         6.8               
Vardas6493          Pavarde6493         4.44              
Vardas6494          Pavarde6494         2.52              
Vardas6495          Pavarde6495         4.12              
Vardas6496          Pavarde6496         3.8               
Vardas6497          Pavarde6497         2.88              
Vardas6498          Pavarde6498         7.44              
Vardas6499          Pavarde6499         7.76              
Vardas6500          Pavarde6500         3.32              
Vardas6501          Pavarde6501         2.32              
Vardas6502          Pavarde6502         7.68              
Vardas6503          Pavarde6503         2.96              
Vardas6504          Pavarde6504         4                 
Vardas6505          Pavarde6505         3.84              
Vardas6506          Pavarde6506         2.6               
Vardas6507          Pavarde6507         5.4               
Vardas6508          Pavarde6508         3.44              
Vardas6509          Pavarde6509         8.16              
Vardas6510          Pavarde6510         6.4               
Vardas6511          Pavarde6511         6.8               
Vardas6512          Pavarde6512         6.2               
Vardas6513          Pavarde6513         7.76              
Vardas6514          Pavarde6514         4.8               
Vardas6515          Pavarde6515         7.84              
Vardas6516          Pavarde6516         5.56              
Vardas6517          Pavarde6517         5.12              
Vardas6518          Pavarde6518         6.12              
Vardas6519          Pavarde6519         6.24              
Vardas6520          Pavarde6520         6.6               
Vardas6521          Pavarde6521         8.16              
Vardas6522          Pavarde6522         5.88              
Vardas6523          Pavarde6523         4.36              
Vardas6524          Pavarde6524         8.48              
Vardas6525          Pavarde6525         4.8               
Vardas6526          Pavarde6526         7.2               
Vardas6527          Pavarde6527         4.44              
Vardas6528          Pavarde6528         2.84              
Vardas6529          Pavarde6529         4.24              
Vardas6530          Pavarde6530         8.12              
Vardas6531          Pavarde6531         7.76              
Vardas6532          Pavarde6532         3.8               
Vardas6533          Pavarde6533         6.76              
Vardas6534          Pavarde6534         4.44              
Vardas6535          Pavarde6535         4.16              
Vardas6536          Pavarde6536         7.16              
Vardas6537          Pavarde6537         4.32              
Vardas6538          Pavarde6538         6.36              
Vardas6539          Pavarde6539         4.32              
Vardas6540          Pavarde6540         6.16              
Vardas6541          Pavarde6541         5.48              
Vardas6542          Pavarde6542         4.2               
Vardas6543          Pavarde6543         6.56              
Vardas6544          Pavarde6544         6.12              
Vardas6545          Pavarde6545         2.52              
Vardas6546          Pavarde6546         7.76              
Vardas6547          Pavarde6547         2.84              
Vardas6548          Pavarde6548         6.64              
Vardas6549          Pavarde6549         4.24              
Vardas6550          Pavarde6550         7.84              
Vardas6551          Pavarde6551         7.64              
Vardas6552          Pavarde6552         2.44              
Vardas6553          Pavarde6553         4.52              
Vardas6554          Pavarde6554         8.44              
Vardas6555          Pavarde6555         2.12              
Vardas6556          Pavarde6556         4.36              
Vardas6557          Pavarde6557         4.8               
Vardas6558          Pavarde6558         6.12              
Vardas6559          Pavarde6559         7.12              
Vardas6560          Pavarde6560         7.92              
Vardas6561          Pavarde6561         3.84              
Vardas6562          Pavarde6562         6.92              
Vardas6563          Pavarde6563         7.4               
Vardas6564          Pavarde6564         2.84              
Vardas6565          Pavarde6565         6.88              
Vardas6566          Pavarde6566         7.44              
Vardas6567          Pavarde6567         7.68              
Vardas6568          Pavarde6568         7.8               
Vardas6569          Pavarde6569         8.2               
Vardas6570          Pavarde6570         4.76              
Vardas6571          Pavarde6571         7.32              
Vardas6572          Pavarde6572         3.96              
Vardas6573          Pavarde6573         5.96              
Vardas6574          Pavarde6574         2.76              
Vardas6575          Pavarde6575         3.88              
Vardas6576          Pavarde6576         7.12              
Vardas6577          Pavarde6577         6.72              
Vardas6578          Pavarde6578         6.36              
Vardas6579          Pavarde6579         2.84              
Vardas6580          Pavarde6580         2.56              
Vardas6581          Pavarde6581         6.16              
Vardas6582          Pavarde6582         5.36              
Vardas6583          Pavarde6583         3.52              
Vardas6584          Pavarde6584         6.4               
Vardas6585          Pavarde6585         7.64              
Vardas6586          Pavarde6586         7.52              
Vardas6587          Pavarde6587         6.76              
Vardas6588          Pavarde6588         6.52              
Vardas6589          Pavarde6589         3.04              
Vardas6590          Pavarde6590         6.72              
Vardas6591          Pavarde6591         5.84              
Vardas6592          Pavarde6592         4.48              
Vardas6593          Pavarde6593         8.64              
Vardas6594          Pavarde6594         5.04              
Vardas6595          Pavarde6595         4.76              
Vardas6596          Pavarde6596         6.32              
Vardas6597          Pavarde6597         6.68              
Vardas6598          Pavarde6598         4.4               
Vardas6599          Pavarde6599         6.4               
Vardas6600          Pavarde6600         6.44              
Vardas6601          Pavarde6601         8.24              
Vardas6602          Pavarde6602         3.12              
Vardas6603          Pavarde6603         5.64              
Vardas6604          Pavarde6604         6.76              
Vardas6605          Pavarde6605         3.48              
Vardas6606          Pavarde6606         7.6               
Vardas6607          Pavarde6607         7.24              
Vardas6608          Pavarde6608         8.48              
Vardas6609          Pavarde6609         4.28              
Vardas6610          Pavarde6610         4.12              
Vardas6611          Pavarde6611         8                 
Vardas6612          Pavarde6612         7.16              
Vardas6613          Pavarde6613         5.92              
Vardas6614          Pavarde6614         7.8               
Vardas6615          Pavarde6615         8.2               
Vardas6616          Pavarde6616         3.92              
Vardas6617          Pavarde6617         3.64              
Vardas6618          Pavarde6618         3.48              
Vardas6619          Pavarde6619         5.36              
Vardas6620          Pavarde6620         3.08              
Vardas6621          Pavarde6621         4.6               
Vardas6622          Pavarde6622         7.36              
Vardas6623          Pavarde6623         6.44              
Vardas6624          Pavarde6624         3.8               
Vardas6625          Pavarde6625         6.84              
Vardas6626          Pavarde6626         4.68              
Vardas6627          Pavarde6627         5.88              
Vardas6628          Pavarde6628         4.36              
Vardas6629          Pavarde6629         7.04              
Vardas6630          Pavarde6630         7.64              
Vardas6631          Pavarde6631         6.4               
Vardas6632          Pavarde6632         4.44              
Vardas6633          Pavarde6633         4.92              
Vardas6634          Pavarde6634         7.64              
Vardas6635          Pavarde6635         8.48              
Vardas6636          Pavarde6636         5.72              
Vardas6637          Pavarde6637         2.96              
Vardas6638          Pavarde6638         5.36              
Vardas6639          Pavarde6639         4.2               
Vardas6640          Pavarde6640         8.24              
Vardas6641          Pavarde6641         7.88              
Vardas6642          Pavarde6642         3.68              
Vardas6643          Pavarde6643         5.92              
Vardas6644          Pavarde6644         6.16              
Vardas6645          Pavarde6645         5                 
Vardas6646          Pavarde6646         6.84              
Vardas6647          Pavarde6647         5.8               
Vardas6648          Pavarde6648         7.04              
Vardas6649          Pavarde6649         5.96              
Vardas6650          Pavarde6650         2.6               
Vardas6651          Pavarde6651         8.8               
Vardas6652          Pavarde6652         2.04              
Vardas6653          Pavarde6653         8.24              
Vardas6654          Pavarde6654         4.72              
Vardas6655          Pavarde6655         3.76              
Vardas6656          Pavarde6656         3.08              
Vardas6657          Pavarde6657         5.84              
Vardas6658          Pavarde6658         5.48              
Vardas6659          Pavarde6659         4.96              
Vardas6660          Pavarde6660         5.84              
Vardas6661          Pavarde6661         8.32              
Vardas6662          Pavarde6662         5.72              
Vardas6663          Pavarde6663         3.96              
Vardas6664          Pavarde6664         3                 
Vardas6665          Pavarde6665         8.48              
Vardas6666          Pavarde6666         7.32              
Vardas6667          Pavarde6667         3.76              
Vardas6668          Pavarde6668         2.56              
Vardas6669          Pavarde6669         5.64              
Vardas6670          Pavarde6670         5.52              
Vardas6671          Pavarde6671         7.48              
Vardas6672          Pavarde6672         8.12              
Vardas6673          Pavarde6673         5.16              
Vardas6674          Pavarde6674         2.48              
Vardas6675          Pavarde6675         6.92              
Vardas6676          Pavarde6676         7.52              
Vardas6677          Pavarde6677         5.6               
Vardas6678          Pavarde6678         7                 
Vardas6679          Pavarde6679         6.52              
Vardas6680          Pavarde6680         6.04              
Vardas6681          Pavarde6681         3.36              
Vardas6682          Pavarde6682         2.6               
Vardas6683          Pavarde6683         6.96              
Vardas6684          Pavarde6684         5                 
Vardas6685          Pavarde6685         3.84              
Vardas6686          Pavarde6686         6                 
Vardas6687          Pavarde6687         4.68              
Vardas6688          Pavarde6688         3.04              
Vardas6689          Pavarde6689         6.12              
Vardas6690          Pavarde6690         5.76              
Vardas6691          Pavarde6691         5.84              
Vardas6692          Pavarde6692         5.28              
Vardas6693          Pavarde6693         4.48              
Vardas6694          Pavarde6694         5.16              
Vardas6695          Pavarde6695         3.2               
Vardas6696          Pavarde6696         3.2               
Vardas6697          Pavarde6697         4.8               
Vardas6698          Pavarde6698         4.08              
Vardas6699          Pavarde6699         6.8               
Vardas6700          Pavarde6700         4.96              
Vardas6701          Pavarde6701         3                 
Vardas6702          Pavarde6702         5.2               
Vardas6703          Pavarde6703         2.6               
Vardas6704          Pavarde6704         4.52              
Vardas6705          Pavarde6705         5.88              
Vardas6706          Pavarde6706         2.2               
Vardas6707          Pavarde6707         7                 
Vardas6708          Pavarde6708         6.92              
Vardas6709          Pavarde6709         7.4               
Vardas6710          Pavarde6710         7.96              
Vardas6711          Pavarde6711         5.56              
Vardas6712          Pavarde6712         5.52              
Vardas6713          Pavarde6713         5.6               
Vardas6714          Pavarde6714         6.64              
Vardas6715          Pavarde6715         7.72              
Vardas6716          Pavarde6716         2.64              
Vardas6717          Pavarde6717         4.12              
Vardas6718          Pavarde6718         3.04              
Vardas6719          Pavarde6719         5                 
Vardas6720          Pavarde6720         5.44              
Vardas6721          Pavarde6721         7.76              
Vardas6722          Pavarde6722         3.12              
Vardas6723          Pavarde6723         1.8               
Vardas6724          Pavarde6724         8.64              
Vardas6725          Pavarde6725         6.8               
Vardas6726          Pavarde6726         6.64              
Vardas6727          Pavarde6727         6.04              
Vardas6728          Pavarde6728         3.8               
Vardas6729          Pavarde6729         7.36              
Vardas6730          Pavarde6730         7.48              
Vardas6731          Pavarde6731         3.96              
Vardas6732          Pavarde6732         5.24              
Vardas6733          Pavarde6733         8.24              
Vardas6734          Pavarde6734         5.72              
